fingerprint,ipaddr,port,stix_pattern,label_name,label_color,marking_type,marking_value,marking_priority
000004ACBB9D29BCBA17256BB35928DDBFC8ABA9,2a0a:4cc0:c1:2aac::1,8443,[ipv6-addr:value = '2a0a:4cc0:c1:2aac::1' AND network-traffic:src_port = 8443],tor,#57C101,TLP,TLP:CLEAR,1
00251F9F626F0E741030AF54CE019B115D01697D,2a0e:bfc0:0:2::8a62,8430,[ipv6-addr:value = '2a0e:bfc0:0:2::8a62' AND network-traffic:src_port = 8430],tor,#57C101,TLP,TLP:CLEAR,1
00283B5564E3072DCDDAB31D6EF622DD49BF524F,2001:1600:18:100::10c,9001,[ipv6-addr:value = '2001:1600:18:100::10c' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
0036FA36AB435FD5D0F640626636867EBFB72C68,2a0b:f4c2:2::33,10133,[ipv6-addr:value = '2a0b:f4c2:2::33' AND network-traffic:src_port = 10133],tor,#57C101,TLP,TLP:CLEAR,1
003A08F1ADC002D24979C68AA5A33369C04D9C7F,2a0b:f4c2:1::170,10170,[ipv6-addr:value = '2a0b:f4c2:1::170' AND network-traffic:src_port = 10170],tor,#57C101,TLP,TLP:CLEAR,1
004A25BF22D034283EF44DFB2471B72FABB1C700,2a12:a800:9:1:193:26:115:140,8430,[ipv6-addr:value = '2a12:a800:9:1:193:26:115:140' AND network-traffic:src_port = 8430],tor,#57C101,TLP,TLP:CLEAR,1
004F9A0513C84E72054CEB555DB51EEEF319546D,2001:67c:e60:c0c:192:42:116:174,9004,[ipv6-addr:value = '2001:67c:e60:c0c:192:42:116:174' AND network-traffic:src_port = 9004],tor,#57C101,TLP,TLP:CLEAR,1
0050875D8D60D3C0EDC54E61DCA5FCE8BA900289,2a01:4f8:c013:e4c0::1,9001,[ipv6-addr:value = '2a01:4f8:c013:e4c0::1' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
0055DB090820D7C08999EC1598FD6EA6365861AD,2001:67c:e60:c0c:192:42:116:185,9004,[ipv6-addr:value = '2001:67c:e60:c0c:192:42:116:185' AND network-traffic:src_port = 9004],tor,#57C101,TLP,TLP:CLEAR,1
005A2425FAD0E62F9E83DB2C052DB8F75ADF0885,2a0d:bbc7::f816:3eff:fe0b:58d3,853,[ipv6-addr:value = '2a0d:bbc7::f816:3eff:fe0b:58d3' AND network-traffic:src_port = 853],tor,#57C101,TLP,TLP:CLEAR,1
005ED97213F725867E422B8DC0443361BBB24E3C,2605:6400:30:fb10:d07b:edfd:2c84:bb4a,443,[ipv6-addr:value = '2605:6400:30:fb10:d07b:edfd:2c84:bb4a' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
0061D22AFD1F06D4E6F35006BD3D9C21D7981EA9,2a03:e600:100::70,9002,[ipv6-addr:value = '2a03:e600:100::70' AND network-traffic:src_port = 9002],tor,#57C101,TLP,TLP:CLEAR,1
0077DDDDB54954214CFEE0FE8AA85DDC857E7C8A,2605:2700:0:2:a800:ff:fe2c:cd37,9001,[ipv6-addr:value = '2605:2700:0:2:a800:ff:fe2c:cd37' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
0082FE19212D9681EEB2320A42ADF0390D231585,2620:18c:0:192::e0:190,443,[ipv6-addr:value = '2620:18c:0:192::e0:190' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
008EAE223B110C8EDEE20D06FB0DD4C43E3E0142,2a00:8a60:e012:a00::9001,9001,[ipv6-addr:value = '2a00:8a60:e012:a00::9001' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
008F10F88397C11C062217EAC35D782F03BDF4C7,2001:67c:e60:c0c:192:42:116:195,9006,[ipv6-addr:value = '2001:67c:e60:c0c:192:42:116:195' AND network-traffic:src_port = 9006],tor,#57C101,TLP,TLP:CLEAR,1
009312B5344D24F88E355051F5E126D65C0A4A70,2604:2dc0:101:200::2dcd,9002,[ipv6-addr:value = '2604:2dc0:101:200::2dcd' AND network-traffic:src_port = 9002],tor,#57C101,TLP,TLP:CLEAR,1
009EF5F8572D671AFCBBAD65998BA35B50EE04BC,2001:67c:e60:c0c:192:42:116:174,9003,[ipv6-addr:value = '2001:67c:e60:c0c:192:42:116:174' AND network-traffic:src_port = 9003],tor,#57C101,TLP,TLP:CLEAR,1
009F8EB6711FA3CCB39343A246B6BF27C9EEBB38,2001:41d0:2005:100::d2,9200,[ipv6-addr:value = '2001:41d0:2005:100::d2' AND network-traffic:src_port = 9200],tor,#57C101,TLP,TLP:CLEAR,1
00B438609546A9F608B4437B03496BA4023761A8,2a12:4040:f5c5:b5b0::1,443,[ipv6-addr:value = '2a12:4040:f5c5:b5b0::1' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
00B57BF614F7ED3051073B5D4526FF0B23AF217B,2001:1ba8:201:20:4a0f:cfff:fe28:f10d,9001,[ipv6-addr:value = '2001:1ba8:201:20:4a0f:cfff:fe28:f10d' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
