fingerprint,ipaddr,port,stix_pattern,label_name,label_color,marking_type,marking_value,marking_priority
00251F9F626F0E741030AF54CE019B115D01697D,2a0e:bfc0:0:8::a84e,8430,[ipv6-addr:value = '2a0e:bfc0:0:8::a84e' AND network-traffic:src_port = 8430],tor,#57C101,TLP,TLP:CLEAR,1
00283B5564E3072DCDDAB31D6EF622DD49BF524F,2001:1600:10:100::201,9001,[ipv6-addr:value = '2001:1600:10:100::201' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
0036FA36AB435FD5D0F640626636867EBFB72C68,2a0b:f4c2:2::33,10133,[ipv6-addr:value = '2a0b:f4c2:2::33' AND network-traffic:src_port = 10133],tor,#57C101,TLP,TLP:CLEAR,1
005ED97213F725867E422B8DC0443361BBB24E3C,2605:6400:30:fb10:d07b:edfd:2c84:bb4a,443,[ipv6-addr:value = '2605:6400:30:fb10:d07b:edfd:2c84:bb4a' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
0077BCBA7244DB3E6A5ED2746E86170066684887,2620:7:6001::103,80,[ipv6-addr:value = '2620:7:6001::103' AND network-traffic:src_port = 80],tor,#57C101,TLP,TLP:CLEAR,1
008EAE223B110C8EDEE20D06FB0DD4C43E3E0142,2a00:8a60:e012:a00::9001,9001,[ipv6-addr:value = '2a00:8a60:e012:a00::9001' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
00B4800E78BA158B016965F7DB9B9041F8834E2E,2a04:ecc0:8:a8:0:2e::,9200,[ipv6-addr:value = '2a04:ecc0:8:a8:0:2e::' AND network-traffic:src_port = 9200],tor,#57C101,TLP,TLP:CLEAR,1
00B57BF614F7ED3051073B5D4526FF0B23AF217B,2001:1ba8:201:20::1:8455,9001,[ipv6-addr:value = '2001:1ba8:201:20::1:8455' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
00DA4A3852EA5EF6841B8B4372DB0EFD3AB0BE92,2a01:4f8:161:52cb::2,4080,[ipv6-addr:value = '2a01:4f8:161:52cb::2' AND network-traffic:src_port = 4080],tor,#57C101,TLP,TLP:CLEAR,1
00DCAEAE3E54C32809E7F7CC4BF2A6FC68FC552F,2620:7:6001::144,80,[ipv6-addr:value = '2620:7:6001::144' AND network-traffic:src_port = 80],tor,#57C101,TLP,TLP:CLEAR,1
00E1649E69FF91D7F01E74A5E62EF14F7D9915E4,2a01:4f8:1c1c:b16b::1,8080,[ipv6-addr:value = '2a01:4f8:1c1c:b16b::1' AND network-traffic:src_port = 8080],tor,#57C101,TLP,TLP:CLEAR,1
00EB3A12C77E70F19F66A7BBD094D62969AF350D,2620:7:6001::174,80,[ipv6-addr:value = '2620:7:6001::174' AND network-traffic:src_port = 80],tor,#57C101,TLP,TLP:CLEAR,1
00EB7CA42614067FEA9DC54271CEB672ABDAE963,2604:a880:2:d0::1ea7:4001,443,[ipv6-addr:value = '2604:a880:2:d0::1ea7:4001' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
00FB85B65AC2F460CD46A3B6E5639821E3F52048,2001:67c:6ec:203:192:42:116:217,9002,[ipv6-addr:value = '2001:67c:6ec:203:192:42:116:217' AND network-traffic:src_port = 9002],tor,#57C101,TLP,TLP:CLEAR,1
0104032B97E79B67E3E5F6FB475F59499491DB51,2a0c:5700:3133:1705:be24:11ff:fead:5be0,995,[ipv6-addr:value = '2a0c:5700:3133:1705:be24:11ff:fead:5be0' AND network-traffic:src_port = 995],tor,#57C101,TLP,TLP:CLEAR,1
013ABAED8F4CDB677BE0B5212E4B2583B86035EE,2a03:4000:47:631:a437:b1ff:fe5c:74a2,443,[ipv6-addr:value = '2a03:4000:47:631:a437:b1ff:fe5c:74a2' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
0167818895813BBBBBA441B789944E937231C1D9,2a00:1838:37:ac::e27d,443,[ipv6-addr:value = '2a00:1838:37:ac::e27d' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
0198F7DF09A6E1C02C959D9EAAD274C3DE4E8067,2001:41d0:303:8f52::1,9700,[ipv6-addr:value = '2001:41d0:303:8f52::1' AND network-traffic:src_port = 9700],tor,#57C101,TLP,TLP:CLEAR,1
019FEB22CE04CBD0489B7F24BE038518B64FA223,2607:5300:201:3100::3e59,9002,[ipv6-addr:value = '2607:5300:201:3100::3e59' AND network-traffic:src_port = 9002],tor,#57C101,TLP,TLP:CLEAR,1
01B8F18C11CE2877E8190FA2C81808CD087515C0,2a03:4000:64:fe8:c853:14ff:fe86:7a3d,9001,[ipv6-addr:value = '2a03:4000:64:fe8:c853:14ff:fe86:7a3d' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
01F6015DB6C684651047FAA36465BEB3AE335CAD,2604:2dc0:101:200::1f45,80,[ipv6-addr:value = '2604:2dc0:101:200::1f45' AND network-traffic:src_port = 80],tor,#57C101,TLP,TLP:CLEAR,1
01F648AFD7FCC68E7917F42CF3533CC5D3A93DF1,2001:67c:289c:4::78,444,[ipv6-addr:value = '2001:67c:289c:4::78' AND network-traffic:src_port = 444],tor,#57C101,TLP,TLP:CLEAR,1
01F88FDAF98B255B03F197D73D18955BB9690BB4,2a03:6f02::93e1,443,[ipv6-addr:value = '2a03:6f02::93e1' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
021DDCD687FD505B7EA7E75DA6CEF0D778AA07FB,2a01:4f8:a0:90b0:789d:6a4:95f3:a78c,9001,[ipv6-addr:value = '2a01:4f8:a0:90b0:789d:6a4:95f3:a78c' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
02264CEE8E7D062A910747A7F5D13B16766076D6,2604:a880:800:10::70b:8001,443,[ipv6-addr:value = '2604:a880:800:10::70b:8001' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
02351FC88D0BF06F6CDE5452656641E6119DBD7E,2a01:4f9:2a:14af::2,8080,[ipv6-addr:value = '2a01:4f9:2a:14af::2' AND network-traffic:src_port = 8080],tor,#57C101,TLP,TLP:CLEAR,1
024A48D0EAFF4761DAA976248343C44F8223F4CC,2600:3c05::f03c:93ff:fe6e:ff2,443,[ipv6-addr:value = '2600:3c05::f03c:93ff:fe6e:ff2' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
024DCB8B97B0640B7288070A8C58C295361B1C52,2600:1700:e412:823:5530:7ec9:d236:b9f5,10437,[ipv6-addr:value = '2600:1700:e412:823:5530:7ec9:d236:b9f5' AND network-traffic:src_port = 10437],tor,#57C101,TLP,TLP:CLEAR,1
02B2152129686AE0BE05F3D1460591DD71C4BB15,2a0a:4cc0:1:2e8:430:d0ff:fe16:af4f,9001,[ipv6-addr:value = '2a0a:4cc0:1:2e8:430:d0ff:fe16:af4f' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
02C7EECCDF7814FBA2DB1CBAED000D06E8A32EE8,2a02:168:53a8:0:5eed:8cff:fea0:5b5c,443,[ipv6-addr:value = '2a02:168:53a8:0:5eed:8cff:fea0:5b5c' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
02E851BA83B48A922DCCD98C378AF207A5D065C7,2602:f81c:9:0:23:188:56:141,993,[ipv6-addr:value = '2602:f81c:9:0:23:188:56:141' AND network-traffic:src_port = 993],tor,#57C101,TLP,TLP:CLEAR,1
02FCF62C0AD3AD1D208D7F27E12E8840EF53C7E0,2a12:a800:2:1:45:141:215:97,7430,[ipv6-addr:value = '2a12:a800:2:1:45:141:215:97' AND network-traffic:src_port = 7430],tor,#57C101,TLP,TLP:CLEAR,1
03507D9766D31F6C3756DC913DB82C1AB2E7F4F1,2a0e:bfc7:0:4::6e7a,7100,[ipv6-addr:value = '2a0e:bfc7:0:4::6e7a' AND network-traffic:src_port = 7100],tor,#57C101,TLP,TLP:CLEAR,1
035F813195F0CB9F567EDFDF60C6745CA36BA0BD,2605:6400:30:f805:1e96:b223:fbe5:cfac,9000,[ipv6-addr:value = '2605:6400:30:f805:1e96:b223:fbe5:cfac' AND network-traffic:src_port = 9000],tor,#57C101,TLP,TLP:CLEAR,1
036EFD2E61DEA3D2FEE59861BA4245E4DE864112,2a0f:df00:0:255::202,443,[ipv6-addr:value = '2a0f:df00:0:255::202' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
037BCD0EBDF7DB9F3D562DA27D463F0F78F1494B,2a03:4000:6:543b::443,443,[ipv6-addr:value = '2a03:4000:6:543b::443' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
037FF23B7D09A6044AA30B0AEA134FFEBC9A231A,2a0b:f4c2:3::78,9000,[ipv6-addr:value = '2a0b:f4c2:3::78' AND network-traffic:src_port = 9000],tor,#57C101,TLP,TLP:CLEAR,1
038B2A774C859796FC11D26DB7F16494708F7749,2a0e:4005:1002:ffff:185:40:4:100,8443,[ipv6-addr:value = '2a0e:4005:1002:ffff:185:40:4:100' AND network-traffic:src_port = 8443],tor,#57C101,TLP,TLP:CLEAR,1
039BBE51EA8B9D16A2E58D6D82C0C045403E10CF,2a0e:4005:1002:ffff:185:40:4:127,9100,[ipv6-addr:value = '2a0e:4005:1002:ffff:185:40:4:127' AND network-traffic:src_port = 9100],tor,#57C101,TLP,TLP:CLEAR,1
03D1EF3EF2BE5145150C58ACC72519DD860E61BA,2a01:4f8:211:1d41::2,8000,[ipv6-addr:value = '2a01:4f8:211:1d41::2' AND network-traffic:src_port = 8000],tor,#57C101,TLP,TLP:CLEAR,1
03DB7F55FD2A2C3135EC6D531745CCFD1AA4477D,2a02:c202:2191:7710::1,443,[ipv6-addr:value = '2a02:c202:2191:7710::1' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
03F26766F14B0B7B5D22461083807D313429A34F,2001:41d0:e:418::1,9001,[ipv6-addr:value = '2001:41d0:e:418::1' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
0403BD88235C49F4C0672F213912FCB3A2B93DCC,2001:67c:6ec:203:192:42:116:217,9003,[ipv6-addr:value = '2001:67c:6ec:203:192:42:116:217' AND network-traffic:src_port = 9003],tor,#57C101,TLP,TLP:CLEAR,1
04045B9662E1629B3681B1F8F96E96F1A6373B80,2a04:ecc0:8:a8:4567:152:0:1,9200,[ipv6-addr:value = '2a04:ecc0:8:a8:4567:152:0:1' AND network-traffic:src_port = 9200],tor,#57C101,TLP,TLP:CLEAR,1
0410E68E65BE1DD16C5B10802C9A623DCFCFE95F,2001:67c:289c:2::235,9030,[ipv6-addr:value = '2001:67c:289c:2::235' AND network-traffic:src_port = 9030],tor,#57C101,TLP,TLP:CLEAR,1
